min,max,StandardizedMonthlyRemuneration
,93000,88000
93000,101000,98000
101000,107000,104000
107000,114000,110000
114000,122000,118000
122000,130000,126000
130000,138000,134000
138000,146000,142000
146000,155000,150000
155000,165000,160000
165000,175000,170000
175000,185000,180000
185000,195000,190000
195000,210000,200000
210000,230000,220000
230000,250000,240000
250000,270000,260000
270000,290000,280000
290000,310000,300000
310000,330000,320000
330000,350000,340000
350000,370000,360000
370000,395000,380000
395000,425000,410000
425000,455000,440000
455000,485000,470000
485000,515000,500000
515000,545000,530000
545000,575000,560000
575000,605000,590000
605000,635000,620000
635000,,650000